City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,3.7200000000000273,79,70,5.28,GL,2023-06-28
1,port-aux-francais,-49.35,70.2167,3.930000000000007,91,100,5.86,TF,2023-06-28
2,utrik,11.2278,169.8474,27.930000000000007,74,100,9.09,MH,2023-06-28
3,grytviken,-54.2811,-36.5092,-6.199999999999989,75,17,4.37,GS,2023-06-28
4,bengkulu,-3.8004,102.2655,24.220000000000027,92,28,2.6,ID,2023-06-28
5,tofol,5.3248,163.0078,28.24000000000001,76,100,5.35,FM,2023-06-28
6,puerto natales,-51.7236,-72.4875,-0.75,100,75,0.51,CL,2023-06-28
7,sohagi,24.9833,81.7,30.230000000000018,69,100,0.92,IN,2023-06-28
8,tazovsky,67.4667,78.7,8.990000000000009,77,93,3.95,RU,2023-06-28
9,waitangi,-43.9535,-176.5597,12.120000000000005,96,100,0.89,NZ,2023-06-28
10,bethel,41.3712,-73.414,27.200000000000045,76,75,4.63,US,2023-06-28
11,west island,-12.1568,96.8225,25.99000000000001,73,40,4.12,CC,2023-06-28
12,kudahuvadhoo,2.6708,72.8944,27.660000000000025,72,90,3.69,MV,2023-06-28
13,stanley,54.868,-1.6985,16.27000000000004,88,75,3.6,GB,2023-06-28
14,atafu village,-8.5421,-172.5159,28.75,75,91,7.31,TK,2023-06-28
15,kem',64.9555,34.5793,13.160000000000025,63,96,3.06,RU,2023-06-28
16,sydney,-33.8679,151.2073,10.350000000000023,78,45,7.72,AU,2023-06-28
17,yellowknife,62.456,-114.3525,26.29000000000002,44,20,3.09,CA,2023-06-28
18,bilibino,68.0546,166.4372,10.710000000000036,55,100,1.44,RU,2023-06-28
19,edinburgh of the seven seas,-37.0676,-12.3116,15.650000000000034,96,90,9.22,SH,2023-06-28
20,iqaluit,63.7506,-68.5145,6.850000000000023,61,75,7.72,CA,2023-06-28
21,eldorado,-23.7869,-54.2836,24.310000000000002,56,0,1.67,BR,2023-06-28
22,lihue,21.9789,-159.3672,27.77000000000004,70,75,6.17,US,2023-06-28
23,quepos,9.4236,-84.1652,28.939999999999998,76,60,2.13,CR,2023-06-28
24,flying fish cove,-10.4217,105.6791,23.82000000000005,83,100,6.17,CX,2023-06-28
25,undurkhaan,47.3194,110.6556,11.689999999999998,44,54,1.55,MN,2023-06-28
26,daqing,46.5833,125.0,20.02000000000004,88,100,1.79,CN,2023-06-28
